ssc_percentage,hsc_percentage,degree_percentage,work_experience,emp_test_percentage,mba_percent,g_F,g_M,hs_Arts,hs_Commerce,hs_Science,ud_Comm&Mgmt,ud_Others,ud_Sci&Tech,sp_Mkt&Fin,sp_Mkt&HR,st_Not Placed,st_Placed
81.0,68.0,64.0,1,93.0,62.56,0,1,0,0,1,0,0,1,1,0,0,1
78.0,77.0,80.0,1,60.0,66.72,1,0,0,1,0,1,0,0,1,0,0,1
74.0,63.16,65.0,0,65.0,69.76,1,0,0,1,0,1,0,0,0,1,1,0
49.0,39.0,65.0,1,63.0,51.21,0,1,0,0,1,0,1,0,1,0,1,0
87.0,87.0,68.0,1,95.0,62.9,0,1,0,1,0,1,0,0,0,1,0,1
77.0,73.0,81.0,0,89.0,69.7,1,0,0,1,0,1,0,0,1,0,0,1
76.0,64.0,72.0,1,58.0,66.53,1,0,0,0,1,0,0,1,0,1,1,0
70.89,71.98,65.6,1,68.0,71.63,1,0,0,0,1,1,0,0,0,1,1,0
63.0,60.0,57.0,0,78.0,54.55,0,1,0,1,0,1,0,0,1,0,0,1
63.0,62.0,68.0,1,64.0,62.46,0,1,0,1,0,1,0,0,1,0,0,1
50.0,37.0,52.0,1,65.0,56.11,1,0,1,0,0,0,1,0,0,1,1,0
75.2,73.2,68.4,1,65.0,62.98,1,0,0,0,1,1,0,0,0,1,0,1
54.4,61.12,56.2,1,67.0,62.65,0,1,0,1,0,1,0,0,0,1,1,0
40.89,45.83,53.0,1,71.2,65.49,1,0,0,1,0,1,0,0,0,1,1,0
80.0,70.0,72.0,1,87.0,71.04,0,1,0,0,1,0,0,1,0,1,0,1
74.0,60.0,69.0,1,78.0,65.56,1,0,0,0,1,1,0,0,0,1,0,1
60.4,66.6,65.0,1,71.0,52.71,0,1,0,0,1,1,0,0,0,1,0,1
63.0,71.4,61.4,1,68.0,66.88,0,1,0,1,0,1,0,0,1,0,0,1
68.0,76.0,74.0,1,80.0,63.59,0,1,0,1,0,1,0,0,1,0,0,1
74.0,62.0,68.0,1,74.0,57.99,0,1,0,0,1,1,0,0,1,0,0,1
52.6,65.58,72.11,1,57.6,56.66,0,1,0,0,1,0,0,1,1,0,0,1
74.0,70.0,72.0,0,60.0,57.24,0,1,0,0,1,1,0,0,1,0,0,1
84.2,73.4,66.89,1,61.6,62.48,0,1,0,1,0,1,0,0,1,0,0,1
86.5,64.2,67.4,1,59.0,59.69,1,0,0,0,1,0,0,1,1,0,0,1
61.0,70.0,64.0,1,68.5,59.5,0,1,0,1,0,1,0,0,0,1,1,0
80.0,73.0,75.0,1,61.0,58.78,0,1,0,1,0,1,0,0,1,0,0,1
54.0,47.0,57.0,1,89.69,57.1,0,1,0,0,1,1,0,0,0,1,1,0
83.0,74.0,66.0,1,68.92,58.46,0,1,0,0,1,1,0,0,0,1,0,1
80.92,78.5,67.0,1,68.71,60.99,0,1,0,1,0,1,0,0,1,0,0,1
69.7,47.0,72.7,1,79.0,59.24,1,0,0,1,0,0,0,1,0,1,1,0
73.0,73.0,66.0,0,70.0,68.07,0,1,0,0,1,0,0,1,1,0,0,1
82.0,61.0,62.0,1,89.0,65.45,0,1,0,0,1,0,0,1,1,0,0,1
75.0,70.29,71.0,1,95.0,66.94,0,1,0,1,0,1,0,0,1,0,0,1
84.86,67.0,78.0,1,95.5,68.53,0,1,0,0,1,1,0,0,1,0,0,1
64.6,83.83,71.72,1,86.0,59.75,0,1,0,1,0,1,0,0,1,0,0,1
56.6,64.8,70.2,1,84.27,67.2,0,1,0,1,0,1,0,0,1,0,0,1
59.0,62.0,77.5,1,74.0,67.0,1,0,0,1,0,1,0,0,0,1,1,0
66.5,70.4,71.93,1,61.0,64.27,1,0,1,0,0,1,0,0,1,0,0,1
64.0,80.0,65.0,0,69.0,57.65,0,1,0,0,1,0,0,1,1,0,0,1
84.0,90.9,64.5,1,86.04,59.42,0,1,0,0,1,0,0,1,1,0,0,1
69.0,62.0,66.0,1,75.0,67.99,1,0,0,0,1,0,0,1,0,1,1,0
69.0,62.0,69.0,0,67.0,62.35,1,0,0,1,0,1,0,0,0,1,0,1
81.7,63.0,67.0,0,86.0,70.2,0,1,0,0,1,1,0,0,1,0,0,1
63.0,67.0,74.0,1,82.0,60.44,0,1,0,1,0,1,0,0,1,0,1,0
84.0,79.0,68.0,0,84.0,66.69,0,1,0,0,1,0,0,1,1,0,0,1
70.0,63.0,70.0,0,55.0,62.0,0,1,0,0,1,0,0,1,1,0,0,1
83.84,89.83,77.2,0,78.74,76.18,1,0,0,1,0,1,0,0,1,0,0,1
62.0,63.0,64.0,1,67.0,57.03,0,1,0,1,0,1,0,0,1,0,0,1
59.6,51.0,60.0,1,75.0,59.08,0,1,0,0,1,0,1,0,0,1,1,0
66.0,62.0,73.0,1,58.0,64.36,1,0,0,1,0,1,0,0,0,1,0,1
84.0,75.0,69.0,0,62.0,62.36,1,0,0,0,1,0,0,1,0,1,0,1
85.0,90.0,82.0,1,92.0,68.03,1,0,0,1,0,1,0,0,1,0,0,1
52.0,57.0,50.8,1,67.0,62.79,0,1,0,1,0,1,0,0,0,1,1,0
60.23,69.0,66.0,1,72.0,59.47,1,0,0,0,1,1,0,0,1,0,0,1
52.0,62.0,54.0,1,72.0,55.41,0,1,0,1,0,1,0,0,0,1,1,0
58.0,62.0,64.0,1,53.88,54.97,0,1,0,1,0,1,0,0,1,0,0,1
73.0,78.0,65.0,0,95.46,62.16,0,1,0,1,0,1,0,0,1,0,0,1
76.0,70.0,76.0,0,66.0,64.44,1,0,0,0,1,1,0,0,1,0,0,1
70.5,62.5,61.0,1,93.91,69.03,1,0,0,1,0,1,0,0,1,0,1,0
69.0,73.0,65.0,1,70.0,57.31,1,0,0,1,0,1,0,0,1,0,0,1
54.0,82.0,63.0,1,50.0,59.47,0,1,0,1,0,0,0,1,1,0,1,0
45.0,57.0,58.0,0,56.39,64.95,1,0,0,1,0,1,0,0,0,1,1,0
63.0,72.0,68.0,1,78.0,60.44,0,1,0,1,0,1,0,0,0,1,0,1
77.0,61.0,68.0,0,57.5,61.31,1,0,0,1,0,1,0,0,1,0,0,1
73.0,78.0,73.0,0,85.0,65.83,0,1,0,0,1,0,0,1,0,1,0,1
69.0,63.0,65.0,0,55.0,58.23,0,1,0,0,1,1,0,0,0,1,0,1
59.0,64.0,58.0,1,85.0,55.3,0,1,0,0,1,0,0,1,0,1,1,0
61.08,50.0,54.0,1,71.0,65.69,0,1,0,0,1,0,0,1,1,0,1,0
82.0,90.0,83.0,1,80.0,73.52,0,1,0,1,0,1,0,0,0,1,0,1
61.0,82.0,69.0,1,84.0,58.31,0,1,0,1,0,1,0,0,1,0,0,1
52.0,63.0,65.0,0,86.0,56.09,0,1,0,0,1,0,0,1,0,1,1,0
69.5,70.0,72.0,1,57.2,54.8,1,0,0,0,1,0,0,1,0,1,0,1
51.0,54.0,61.0,1,60.0,60.64,0,1,0,0,1,0,0,1,0,1,1,0
58.0,61.0,61.0,1,58.0,53.94,0,1,0,1,0,1,0,0,0,1,0,1
73.96,79.0,67.0,1,72.15,63.08,1,0,0,1,0,1,0,0,1,0,0,1
65.0,68.0,69.0,1,53.7,55.01,0,1,0,0,1,1,0,0,0,1,0,1
73.0,63.0,66.0,1,89.0,60.5,1,0,0,0,1,1,0,0,1,0,0,1
68.2,72.8,66.6,0,96.0,70.85,0,1,0,1,0,1,0,0,1,0,0,1
77.0,75.0,73.0,1,80.0,67.05,0,1,0,0,1,0,0,1,1,0,0,1
76.0,80.0,78.0,0,97.0,70.48,0,1,0,0,1,0,0,1,0,1,0,1
60.8,68.4,64.6,0,82.66,64.34,0,1,0,1,0,1,0,0,1,0,0,1
58.0,40.0,59.0,1,73.0,58.81,0,1,0,0,1,1,0,0,0,1,1,0
64.0,67.0,69.6,0,55.67,71.49,1,0,0,0,1,0,0,1,0,1,0,1
66.5,66.8,69.3,0,80.4,71.0,1,0,1,0,0,1,0,0,1,0,0,1
74.0,59.0,73.0,0,60.0,56.7,0,1,0,1,0,1,0,0,0,1,0,1
67.0,71.0,64.33,0,64.0,61.26,0,1,0,0,1,0,1,0,0,1,0,1
84.0,73.0,73.0,1,75.0,73.33,1,0,0,1,0,1,0,0,1,0,0,1
79.0,61.0,75.5,0,70.0,68.2,1,0,0,0,1,0,0,1,1,0,0,1
72.0,60.0,69.0,1,55.5,58.4,1,0,0,0,1,1,0,0,0,1,0,1
80.4,73.4,77.72,0,81.2,76.26,0,1,0,0,1,0,0,1,0,1,0,1
76.7,89.7,66.0,0,90.0,68.55,0,1,0,1,0,1,0,0,1,0,0,1
62.0,65.0,60.0,1,84.0,64.15,0,1,0,1,0,1,0,0,1,0,1,0
74.9,57.0,62.0,0,80.0,60.78,1,0,0,0,1,0,1,0,1,0,0,1
67.0,68.0,64.0,0,74.4,53.49,0,1,0,1,0,1,0,0,0,1,0,1
73.0,64.0,77.0,0,65.0,60.98,0,1,0,1,0,1,0,0,0,1,0,1
77.44,92.0,72.0,0,94.0,67.13,1,0,0,1,0,1,0,0,1,0,0,1
72.0,56.0,69.0,1,55.6,65.63,1,0,0,0,1,1,0,0,0,1,0,1
47.0,59.0,64.0,1,78.0,61.58,1,0,1,0,0,1,0,0,1,0,1,0
67.0,63.0,72.0,1,56.0,60.41,0,1,0,1,0,1,0,0,0,1,0,1
82.0,64.0,73.0,0,96.0,71.77,1,0,0,0,1,0,0,1,1,0,0,1
77.0,70.0,59.0,0,58.0,54.43,0,1,0,1,0,1,0,0,1,0,0,1
65.0,64.8,69.5,0,56.0,56.94,0,1,0,1,0,1,0,0,1,0,0,1
66.0,64.0,60.0,1,60.0,61.9,0,1,0,0,1,1,0,0,0,1,1,0
85.0,60.0,73.43,0,60.0,61.29,0,1,0,0,1,0,0,1,1,0,0,1
77.67,64.89,70.67,1,89.0,60.39,0,1,0,1,0,1,0,0,1,0,0,1
52.0,50.0,61.0,1,60.0,58.52,0,1,1,0,0,1,0,0,1,0,1,0
89.4,65.66,71.25,1,72.0,63.23,0,1,0,0,1,0,0,1,0,1,0,1
62.0,63.0,66.0,1,85.0,55.14,0,1,0,0,1,1,0,0,0,1,0,1
70.0,74.0,65.0,1,83.0,62.28,0,1,0,1,0,1,0,0,1,0,0,1
77.0,86.0,56.0,1,57.0,64.08,1,0,1,0,0,0,1,0,1,0,0,1
44.0,58.0,55.0,0,64.25,58.54,0,1,1,0,0,1,0,0,0,1,1,0
71.0,58.66,58.0,0,56.0,61.3,0,1,0,0,1,0,0,1,1,0,0,1
65.0,65.0,75.0,1,83.0,58.87,0,1,0,1,0,1,0,0,1,0,0,1
75.4,60.5,84.0,1,98.0,65.25,1,0,0,0,1,0,0,1,1,0,0,1
49.0,59.0,65.0,0,86.0,62.48,0,1,0,0,1,0,0,1,1,0,0,1
53.0,63.0,60.0,0,70.0,53.2,0,1,0,0,1,1,0,0,1,0,0,1
51.57,74.66,59.9,0,56.15,65.99,0,1,0,1,0,1,0,0,0,1,1,0
84.2,69.4,65.0,0,80.0,52.72,0,1,0,0,1,0,0,1,0,1,0,1
66.5,62.5,60.9,1,93.4,55.03,0,1,0,1,0,1,0,0,1,0,0,1
67.0,63.0,64.0,1,60.0,61.87,0,1,0,0,1,0,0,1,1,0,1,0
52.0,49.0,58.0,1,62.0,60.59,0,1,0,1,0,1,0,0,0,1,1,0
87.0,74.0,65.0,0,75.0,72.29,0,1,0,0,1,0,0,1,0,1,0,1
55.6,51.0,57.5,1,57.63,62.72,0,1,0,1,0,1,0,0,0,1,1,0
74.2,87.6,77.25,0,75.2,66.06,0,1,0,1,0,1,0,0,1,0,0,1
63.0,67.0,64.0,1,75.0,66.46,0,1,0,0,1,0,0,1,1,0,0,1
67.16,72.5,63.35,1,53.04,65.52,1,0,0,1,0,1,0,0,1,0,0,1
63.3,78.33,74.0,1,80.0,74.56,1,0,0,1,0,1,0,0,1,0,1,0
62.0,62.0,60.0,0,63.0,52.38,0,1,0,1,0,1,0,0,0,1,0,1
67.9,62.0,67.0,0,58.1,75.71,0,1,0,0,1,0,0,1,1,0,1,0
48.0,51.0,58.0,0,60.0,58.79,1,0,0,1,0,1,0,0,0,1,1,0
59.96,42.16,61.26,1,54.48,65.48,0,1,0,0,1,0,0,1,0,1,1,0
63.4,67.2,60.0,1,58.06,69.28,1,0,0,1,0,1,0,0,0,1,1,0
80.0,80.0,72.0,0,63.79,66.04,0,1,0,1,0,1,0,0,1,0,0,1
73.0,58.0,56.0,1,84.0,52.64,0,1,0,1,0,1,0,0,0,1,0,1
52.0,52.0,55.0,1,67.0,59.32,1,0,0,0,1,0,0,1,0,1,1,0
73.24,50.83,64.27,0,64.0,66.23,0,1,0,0,1,0,0,1,1,0,0,1
63.0,62.0,65.0,1,87.5,60.69,0,1,0,0,1,0,0,1,0,1,1,0
59.0,60.0,56.0,1,55.0,57.9,1,0,0,1,0,1,0,0,0,1,0,1
73.0,97.0,79.0,0,89.0,70.81,1,0,0,1,0,1,0,0,1,0,0,1
68.0,56.0,68.0,1,73.0,68.07,0,1,0,0,1,0,0,1,0,1,0,1
77.8,64.0,64.2,1,75.5,72.14,1,0,0,0,1,0,0,1,0,1,1,0
65.0,71.5,62.8,0,57.0,56.6,0,1,0,1,0,1,0,0,1,0,0,1
62.0,60.33,64.21,1,63.0,60.02,0,1,0,0,1,0,0,1,0,1,1,0
52.0,65.0,57.0,0,75.0,59.81,0,1,1,0,0,0,1,0,1,0,1,0
65.0,77.0,69.0,1,60.0,61.82,0,1,0,1,0,1,0,0,0,1,0,1
56.28,62.83,59.79,1,60.0,57.29,1,0,0,1,0,1,0,0,0,1,1,0
88.0,72.0,78.0,1,82.0,71.43,1,0,0,0,1,0,1,0,0,1,0,1
52.0,64.0,61.0,1,55.0,62.93,1,0,0,1,0,1,0,0,1,0,1,0
78.5,65.5,67.0,0,95.0,64.86,0,1,0,0,1,0,0,1,1,0,0,1
61.8,47.0,54.38,1,57.0,56.13,0,1,0,1,0,1,0,0,1,0,1,0
54.0,77.6,69.2,1,95.65,66.94,1,0,0,1,0,1,0,0,1,0,1,0
64.0,70.2,61.0,1,50.0,62.5,1,0,0,1,0,1,0,0,1,0,1,0
67.0,61.0,72.0,1,72.0,61.01,0,1,0,0,1,1,0,0,1,0,0,1
65.2,61.4,64.8,0,93.4,57.34,0,1,0,1,0,1,0,0,1,0,0,1
60.0,63.0,56.0,0,80.0,56.63,1,0,1,0,0,0,1,0,0,1,0,1
52.0,55.0,56.3,1,59.0,64.74,0,1,0,1,0,1,0,0,1,0,1,0
66.0,76.0,72.0,0,84.0,58.95,0,1,0,1,0,1,0,0,0,1,0,1
72.0,63.0,77.5,0,78.0,54.48,0,1,0,0,1,0,0,1,1,0,0,1
83.96,53.0,91.0,1,59.32,69.71,1,0,0,0,1,0,0,1,0,1,0,1
67.0,70.0,65.0,1,88.0,71.96,1,0,0,1,0,0,1,0,0,1,1,0
69.0,65.0,57.0,1,73.0,55.8,0,1,0,1,0,1,0,0,0,1,0,1
69.0,60.0,65.0,1,87.55,52.81,0,1,0,1,0,1,0,0,1,0,0,1
54.2,63.0,58.0,1,79.0,58.44,0,1,0,0,1,1,0,0,0,1,1,0
70.0,63.0,66.0,1,61.28,60.11,0,1,0,0,1,0,0,1,0,1,0,1
55.68,61.33,56.87,1,66.0,58.3,0,1,0,1,0,1,0,0,0,1,0,1
74.0,73.0,73.0,0,80.0,67.69,1,0,0,1,0,1,0,0,1,0,0,1
61.0,62.0,65.0,1,62.0,56.81,0,1,0,1,0,1,0,0,1,0,0,1
41.0,42.0,60.0,1,97.0,53.39,0,1,0,0,1,1,0,0,1,0,1,0
83.33,78.0,61.0,0,88.56,71.55,0,1,0,1,0,1,0,0,1,0,0,1
43.0,60.0,65.0,1,92.66,62.92,1,0,0,0,1,1,0,0,0,1,1,0
62.0,72.0,65.0,1,67.0,56.49,0,1,0,1,0,1,0,0,1,0,0,1
80.6,82.0,77.6,1,91.0,74.49,0,1,0,1,0,1,0,0,1,0,0,1
58.0,60.0,72.0,1,74.0,53.62,0,1,0,0,1,0,0,1,1,0,0,1
67.0,67.0,73.0,0,59.0,69.72,0,1,0,1,0,1,0,0,1,0,0,1
74.0,66.0,58.0,1,70.0,60.23,1,0,0,1,0,1,0,0,0,1,0,1
62.0,58.0,53.0,1,89.0,60.22,0,1,0,0,1,1,0,0,0,1,1,0
